No	NPSN	Nama Satuan Pendidikan	Alamat Satuan Pendidikan	Desa	Status
1	K9999914	LKP ALTHAFURROHMAN	Kp. Cigedug Tonggoh RT 03 RW 09	Cigedug	SWASTA
2	K5653051	LKP Arham	Kp. Cihuru Rt.01 Rw.04 Desa Sukahurip Kec. Cigedug Kab. Garut, Jawa Barat	Sukahurip	SWASTA
3	P2963772	PKBM AL-IKHLAS	Jl. Cigedug Kp. Negla RT. 01 RW. 04	Sindangsari	SWASTA
4	P9952686	PKBM ASSIKKIN	Kp. Barusuda RT 01 RW 06	Barusuda	SWASTA
5	P9948332	PKBM CAHAYA ISLAM	Kp. Cigedug Tonggoh RT 003 RW 009	Cigedug	SWASTA
6	P9996532	PKBM TUNAS NUSANTARA	Kp. Cilongkrang RT 03 RW 10	Sukahurip	SWASTA
7	69995403	Pondok Pesantren PP Al Hidayah	Jl Sudirman Koropeak Kaler Suci Kaler Karangpawitan	Sukahurip	SWASTA
8	69951224	PPS Miftahul Huda	Kp Cibelendung Rt 01 Rw 09 Desa Cintanagara	Cigedug	SWASTA
9	70023611	PPS. ANSHORUL HUDA	KP. BABAKAN Rt. 05 Rw. 06	Cigedug	SWASTA
